Time,Method,Row,Identifier 1,Identifier 2,Comment,Preparation,Component,Peak Nr.,Rt,Width,Ampl. 2,Area 2,Ampl. 3,Area 3,BGD 2,BGD 3,Area All,Is Ref.?,d 2H/1H,rd 3H2/2H2,rR 3H2/2H2
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,Ref 1,1,30.1,13.8,5539,59.281,1558,0.016,121.8,82.2,59.297,0,-311.021,-0.030,0.2628653
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,Ref 2,2,71.9,13.8,5538,59.052,1558,0.016,122.1,81.8,59.067,0,-310.766,0.340,0.2629626
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,Ref 3,3,113.7,13.8,5539,59.191,1558,0.016,122.3,82.0,59.207,1,-311.000,0.000,0.2628732
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,Ref 4,4,155.5,13.8,5542,59.368,1560,0.016,122.5,81.8,59.384,0,-310.482,0.752,0.2630710
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,Ref 5,5,197.3,14.0,5544,59.239,1560,0.016,122.7,82.1,59.255,0,-310.757,0.352,0.2629658
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,C23 Alkane,6,1470.3,13.0,4105,15.960,1270,0.006,134.6,82.6,15.966,0,-84.424,328.848,0.3493184
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,C20 FAME,7,1493.9,13.0,4041,14.789,1337,0.005,154.0,87.3,14.794,0,-27.329,411.714,0.3711016
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,C25 Alkane,8,1631.0,13.2,4585,16.868,1158,0.005,141.6,84.3,16.873,0,-265.172,66.514,0.2803581
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,C27 Alkane,9,1780.7,13.0,4820,17.486,1354,0.005,149.9,86.1,17.492,0,-187.071,179.868,0.3101557
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,C29 Alkane,10,1920.5,12.7,4969,18.845,1564,0.006,163.7,89.9,18.851,0,-103.108,301.730,0.3421900
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,C31 Alkane,11,2051.8,12.3,5129,19.573,1310,0.005,190.9,98.2,19.578,0,-276.347,50.295,0.2760944
16:49:12,H2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL2,standard_control_drift,,20,C30 FAME,12,2217.5,13.2,4054,18.228,1111,0.006,198.8,100.0,18.234,0,-196.078,166.795,0.3067191
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,Ref 1,1,30.1,13.8,5529,59.181,1556,0.016,122.4,82.2,59.197,0,-311.293,-0.426,0.2629959
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,Ref 2,2,71.9,13.8,5528,59.002,1556,0.016,122.7,81.7,59.018,0,-310.979,0.031,0.2631159
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,Ref 3,3,113.7,13.8,5531,58.991,1556,0.016,122.9,82.0,59.007,1,-311.000,0.000,0.2631078
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,Ref 4,4,155.5,14.0,5531,59.229,1556,0.016,123.0,82.1,59.245,0,-311.088,-0.128,0.2630742
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,Ref 5,5,197.3,14.0,5532,59.070,1558,0.016,123.2,82.4,59.085,0,-311.037,-0.054,0.2630936
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,C23 Alkane,6,1469.7,11.7,4712,16.430,1445,0.006,134.4,82.5,16.436,0,-83.799,329.755,0.3498690
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,C20 FAME,7,1493.3,11.7,4583,15.209,1496,0.006,151.1,86.2,15.215,0,-27.284,411.780,0.3714503
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,C25 Alkane,8,1630.4,11.5,4862,17.110,1207,0.005,140.6,84.1,17.115,0,-266.441,64.672,0.2801235
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,C27 Alkane,9,1779.8,11.3,4926,17.617,1387,0.005,148.9,85.7,17.622,0,-187.141,179.767,0.3104059
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,C29 Alkane,10,1919.7,11.3,5154,18.875,1603,0.006,162.6,89.5,18.881,0,-103.385,301.328,0.3423896
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,C31 Alkane,11,2050.7,11.7,5169,19.588,1328,0.005,187.9,97.2,19.594,0,-277.203,49.052,0.2760137
17:35:04,H2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,20,C30 FAME,12,2216.4,13.0,4127,18.198,1111,0.006,196.8,99.1,18.203,0,-195.832,167.153,0.3070871
