Time,Method,Row,Identifier 1,Identifier 2,Comment,Preparation,Component,Peak Nr.,Rt,Width,Ampl. 44,Area 44,Ampl. 45,Area 45,BGD 44,BGD 45,Area All,Is Ref.?,d 13C/12C,rd 45CO2/44CO2,rR 45CO2/44CO2
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,Ref 1,1,39.5,13.4,4976,52.337,5883,0.619,0.4,-0.0,53.176,0,-10.290,0.076,1.1823846
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,Ref 2,2,81.3,13.4,4973,52.268,5880,0.618,0.4,-0.1,53.106,0,-10.334,0.036,1.1823376
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,Ref 3,3,123.1,13.4,4976,52.315,5883,0.619,0.4,-0.1,53.154,1,-10.370,0.000,1.1822950
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,Ref 4,4,164.9,13.4,4975,52.390,5882,0.619,0.4,-0.1,53.229,0,-10.362,0.007,1.1823032
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,Ref 5,5,206.9,13.4,4973,52.329,5879,0.619,0.4,-0.1,53.168,0,-10.362,0.006,1.1823026
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,C23 Alkane,6,1521.1,9.4,5714,15.309,6554,0.177,32.7,38.0,15.550,0,-32.335,-21.241,1.1571822
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,C20 FAME,7,1543.9,9.2,4581,12.139,5382,0.144,53.9,62.4,12.333,0,-9.466,0.299,1.1826479
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,C25 Alkane,8,1682.0,9.8,5863,16.141,6770,0.188,60.4,69.8,16.396,0,-27.587,-16.769,1.1624691
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,C27 Alkane,9,1831.9,10.0,5894,16.758,6789,0.194,103.9,119.8,17.022,0,-29.595,-18.658,1.1602354
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,C29 Alkane,10,1971.7,10.2,6169,18.105,7118,0.210,186.6,214.6,18.389,0,-31.037,-20.018,1.1586275
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,C31 Alkane,11,2105.7,11.1,5864,18.414,6776,0.214,286.0,328.3,18.704,0,-28.573,-17.700,1.1613687
20:13:07,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL2,standard_control_drift,,3.5,C30 FAME,12,2285.8,11.7,3930,14.740,4552,0.172,311.4,356.9,14.972,0,-25.569,-14.861,1.1647245
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,Ref 1,1,39.5,13.4,4985,52.409,5889,0.619,0.5,0.0,53.249,0,-10.330,0.039,1.1814258
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,Ref 2,2,81.3,13.4,4983,52.371,5887,0.619,0.4,-0.1,53.210,0,-10.402,-0.030,1.1813444
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,Ref 3,3,123.1,13.4,4985,52.332,5889,0.618,0.4,-0.1,53.170,1,-10.370,0.000,1.1813798
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,Ref 4,4,165.1,13.4,4985,52.485,5890,0.620,0.4,-0.1,53.325,0,-10.396,-0.026,1.1813496
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,Ref 5,5,206.9,13.4,4982,52.336,5886,0.618,0.4,-0.1,53.174,0,-10.358,0.012,1.1813936
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,C23 Alkane,6,1521.9,9.2,5363,14.072,6156,0.163,33.1,38.4,14.293,0,-32.309,-21.221,1.1563094
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,C20 FAME,7,1544.7,9.4,4227,11.234,4976,0.133,52.5,60.8,11.413,0,-9.645,0.129,1.1815326
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,C25 Alkane,8,1682.9,9.8,5431,14.813,6273,0.172,60.8,70.3,15.047,0,-27.631,-16.813,1.1615174
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,C27 Alkane,9,1832.7,9.8,5389,15.363,6206,0.178,104.9,120.8,15.604,0,-29.671,-18.739,1.1592415
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,C29 Alkane,10,1972.5,10.2,5716,16.632,6586,0.193,186.8,214.5,16.893,0,-31.074,-20.058,1.1576838
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,C31 Alkane,11,2106.5,10.9,5322,16.859,6155,0.196,285.4,327.4,17.124,0,-28.801,-17.916,1.1602139
21:04:00,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,ACAL2,standard_control_drift,,3.5,C30 FAME,12,2286.5,11.5,3565,13.414,4131,0.156,311.4,356.5,13.626,0,-25.667,-14.957,1.1637100
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,Ref 1,1,39.5,13.4,4995,52.506,5905,0.621,0.4,0.0,53.348,0,-10.345,0.025,1.1821966
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,Ref 2,2,81.3,13.4,4992,52.541,5901,0.621,0.4,-0.1,53.384,0,-10.359,0.013,1.1821825
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,Ref 3,3,123.1,13.4,4994,52.449,5903,0.620,0.4,-0.0,53.290,1,-10.370,0.000,1.1821667
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,Ref 4,4,165.1,13.4,4993,52.618,5903,0.622,0.4,-0.1,53.462,0,-10.378,-0.005,1.1821608
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,Ref 5,5,206.9,13.4,4992,52.500,5901,0.621,0.4,-0.1,53.342,0,-10.362,0.011,1.1821798
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,C20 FAME,6,1543.9,9.4,3117,8.769,3670,0.104,35.7,41.4,8.909,0,-9.404,0.361,1.1825930
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,C24 FAME,7,1853.6,9.4,3438,9.795,3997,0.114,106.7,122.8,9.949,0,-25.702,-14.988,1.1644488
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,C31 Alkane,8,2105.3,9.6,3004,9.261,3477,0.108,273.5,313.9,9.407,0,-28.475,-17.612,1.1613461
21:54:50,CO2 60m 6C_ramp 1.4 mL Flow Standards,6,CAL,control,,3.5,C30 FAME,9,2285.6,10.9,2638,9.952,3058,0.116,305.7,350.3,10.109,0,-25.706,-14.991,1.1644451
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,Ref 1,1,39.5,13.2,4997,52.556,5908,0.621,0.5,0.0,53.399,0,-10.322,0.047,1.1823284
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,Ref 2,2,81.3,13.4,4996,52.559,5907,0.621,0.4,-0.1,53.401,0,-10.344,0.026,1.1823033
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,Ref 3,3,123.1,13.4,4996,52.487,5906,0.621,0.4,-0.1,53.328,1,-10.370,0.000,1.1822731
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,Ref 4,4,164.9,13.4,4994,52.532,5904,0.621,0.4,-0.0,53.375,0,-10.386,-0.016,1.1822544
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,Ref 5,5,206.9,13.4,4993,52.614,5903,0.622,0.4,-0.0,53.458,0,-10.356,0.013,1.1822884
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,C20 FAME,6,1544.9,9.4,3384,9.424,3989,0.111,31.4,36.4,9.575,0,-9.504,0.256,1.1825759
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,C24 FAME,7,1854.9,9.6,3705,10.611,4299,0.124,103.5,119.2,10.779,0,-25.626,-14.931,1.1646207
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,C31 Alkane,8,2106.3,9.6,3220,9.991,3727,0.116,274.2,314.6,10.148,0,-28.500,-17.633,1.1614264
22:45:39,CO2 60m 6C_ramp 1.4 mL Flow Standards,7,CAL,control,,3.5,C30 FAME,9,2286.7,11.3,2898,10.842,3360,0.126,304.0,348.2,11.013,0,-25.569,-14.872,1.1646905
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,Ref 1,1,39.5,13.4,4994,52.565,5896,0.621,0.5,0.0,53.406,0,-10.330,0.040,1.1806526
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,Ref 2,2,81.5,13.4,4992,52.616,5893,0.621,0.4,-0.0,53.458,0,-10.360,0.009,1.1806166
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,Ref 3,3,123.1,13.4,4993,52.476,5894,0.620,0.4,-0.1,53.316,1,-10.370,0.000,1.1806057
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,Ref 4,4,165.1,13.4,4993,52.593,5895,0.621,0.4,-0.0,53.435,0,-10.459,-0.087,1.1805027
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,Ref 5,5,206.9,13.4,4991,52.450,5892,0.619,0.4,-0.0,53.290,0,-10.402,-0.032,1.1805677
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,C25 Alkane,6,1677.6,9.4,4115,11.236,4733,0.130,65.4,75.5,11.412,0,-32.958,-21.869,1.1547869
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,C27 Alkane,7,1829.4,8.6,2426,6.657,2792,0.077,112.7,129.7,6.761,0,-32.869,-21.776,1.1548966
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,C29 Alkane,8,1970.2,6.9,581,1.610,669,0.019,206.6,237.1,1.635,0,-33.767,-22.624,1.1538962
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,C31 Alkane,9,2105.3,10.2,4252,13.188,4880,0.152,287.6,329.6,13.394,0,-34.627,-23.431,1.1529432
23:46:57,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,8,VC-06,sample,,3.5,C33 Alkane,10,2255.7,11.3,3682,13.178,4233,0.152,326.6,373.9,13.385,0,-32.702,-21.615,1.1550864
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,Ref 1,1,39.7,13.4,4987,52.515,5897,0.621,0.5,0.0,53.357,0,-10.294,0.073,1.1824366
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,Ref 2,2,81.5,13.4,4988,52.479,5898,0.621,0.4,-0.0,53.321,0,-10.352,0.017,1.1823697
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,Ref 3,3,123.1,13.4,4989,52.375,5897,0.619,0.4,-0.0,53.215,1,-10.370,0.000,1.1823499
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,Ref 4,4,165.1,13.4,4987,52.540,5896,0.621,0.4,-0.0,53.382,0,-10.401,-0.030,1.1823143
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,Ref 5,5,206.9,13.4,4988,52.415,5897,0.620,0.4,-0.0,53.255,0,-10.391,-0.021,1.1823256
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,C25 Alkane,6,1677.9,9.6,4673,12.783,5382,0.148,65.7,75.9,12.983,0,-32.827,-21.732,1.1566548
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,C27 Alkane,7,1829.6,8.8,2649,7.453,3052,0.086,114.2,131.7,7.570,0,-32.771,-21.672,1.1567260
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,C29 Alkane,8,1970.2,7.1,654,1.886,755,0.022,194.0,223.2,1.915,0,-34.262,-23.058,1.1550868
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,C31 Alkane,9,2105.5,10.4,4557,14.401,5235,0.166,292.8,336.1,14.627,0,-34.531,-23.335,1.1547596
00:48:14,CO2 60m 6C_ramp 1.4 mL Flow Alkane_Samples,9,VC-06,sample,,3.5,C33 Alkane,10,2255.9,11.3,3996,14.291,4599,0.165,330.3,378.7,14.516,0,-32.622,-21.535,1.1568881
