Time,Method,Row,Identifier 1,Identifier 2,Comment,Preparation,Component,Peak Nr.,Rt,Width,Ampl. 44,rArea 44,Ampl. 45,rArea 45,BGD 44,BGD 45,rArea All,Is Ref.?,d 13C/12C,rd 45CO2/44CO2,rR 45CO2/44CO2
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,Ref 1,1,39.5,13.4,5964,62675,7043,74027,0.9,0.5,224639,0,-10.271,0.096,1.1811237
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,Ref 2,2,81.3,13.4,5960,62707,7039,74063,0.8,0.4,224746,0,-10.304,0.063,1.1810844
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,Ref 3,3,123.1,13.4,5971,62668,7051,74012,0.8,0.4,224598,1,-10.37,0,1.1810098
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,Ref 4,4,164.9,13.4,5970,62808,7050,74175,0.8,0.4,225096,0,-10.386,-0.016,1.1809911
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,Ref 5,5,206.7,13.4,5972,62664,7052,74007,0.9,0.4,224581,0,-10.354,0.014,1.1810266
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,C23 Alkane,6,1498.3,9.6,5807,15595,6672,18028,29.9,34.3,55149,0,-32.214,-21.14,1.1560434
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,C25 Alkane,7,1659.3,10,5939,16570,6861,19244,49.4,56.8,58688,0,-27.401,-16.603,1.1614011
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,C27 Alkane,8,1809.1,10,6040,17196,6965,19931,79,90.8,60864,0,-29.544,-18.625,1.1590136
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,C29 Alkane,9,1949.1,10.7,6280,18692,7234,21634,126.6,145.3,66132,0,-31.031,-20.019,1.1573669
16:29:46,CO2 60m 6C_ramp 1.4 mL Flow Standards,3,ACAL,standard_control_drift,,3.5,C31 Alkane,10,2081.4,11.3,6072,19332,7012,22423,209.8,240.4,68448,0,-28.763,-17.881,1.1598927
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,Ref 1,1,39.5,13.4,5967,62856,7048,74249,0.9,0.4,225306,0,-10.294,0.074,1.1812408
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,Ref 2,2,81.3,13.4,5966,62670,7047,74026,0.8,0.3,224634,0,-10.335,0.035,1.1811945
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,Ref 3,3,123.1,13.4,5975,62785,7057,74158,0.8,0.3,225037,1,-10.37,0,1.1811532
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,Ref 4,4,165.1,13.4,5979,62793,7062,74165,0.8,0.4,225058,0,-10.41,-0.041,1.181105
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,Ref 5,5,206.7,13.4,5975,62733,7058,74097,0.8,0.4,224851,0,-10.375,-0.005,1.181147
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,C23 Alkane,6,1497.5,9.6,5736,15509,6600,17930,30.6,35.1,54851,0,-32.261,-21.182,1.1561339
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,C25 Alkane,7,1658.4,10,5930,16484,6858,19144,48.6,55.9,58388,0,-27.597,-16.787,1.161325
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,C27 Alkane,8,1808.3,10.2,6000,17153,6930,19880,78.7,90.4,60716,0,-29.685,-18.753,1.1590031
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,C29 Alkane,9,1948.3,10.7,6278,18665,7239,21601,125.7,144.2,66031,0,-31.223,-20.209,1.1572827
17:20:33,CO2 60m 6C_ramp 1.4 mL Flow Standards,4,ACAL,standard_control_drift,,3.5,C31 Alkane,10,2080.6,11.3,6057,19303,7001,22388,218.4,250.2,68341,0,-28.952,-18.064,1.1598167
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,Ref 1,1,39.5,13.4,5970,62761,7051,74132,0.9,0.4,224957,0,-10.289,0.078,1.1811779
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,Ref 2,2,81.3,13.4,5970,62688,7051,74043,0.8,0.3,224690,0,-10.326,0.042,1.1811358
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,Ref 3,3,123.1,13.4,5978,62767,7060,74134,0.8,0.3,224968,1,-10.37,0,1.181086
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,Ref 4,4,165.1,13.4,5979,62957,7062,74357,0.8,0.3,225642,0,-10.367,0.001,1.1810875
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,Ref 5,5,206.7,13.4,5977,62791,7060,74161,0.8,0.4,225050,0,-10.377,-0.007,1.1810778
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,C20 FAME,6,1521.1,10.7,5821,16342,6849,19294,34.3,39.3,58200,0,-10.194,-0.394,1.1806208
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,C24 FAME,7,1831.3,10.7,6383,18755,7401,21818,99,113.7,66472,0,-25.769,-15.061,1.1632974
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,C31 Alkane,8,2081.6,11.1,5864,18577,6773,21551,223.8,256.2,65780,0,-28.635,-17.761,1.1601084
18:11:20,CO2 60m 6C_ramp 1.4 mL Flow Standards,5,CAL,control,,3.5,C30 FAME,9,2253.9,12.3,5488,20696,6358,24070,235.8,269.2,73343,0,-25.996,-15.275,1.1630447
